Employee_ID,Age,Gender,Marital_Status,Education_Field,Department,Job_Role,Job_Level,Annual_Salary,Monthly_Income,Years_At_Company,Years_Since_Last_Promotion,Training_Hours_Last_Year,Overtime,Job_Satisfaction,Environment_Satisfaction,Work_Life_Balance,Performance_Rating,Percent_Salary_Hike,Attrition
EMP0001,29,Female,Divorced,Marketing,Sales,Sales Executive,2,81717,6809.75,8,1,47,Yes,1,3,2,2,14,Yes
EMP0002,39,Female,Single,Other,Finance,Finance Manager,4,134110,11175.83,10,1,15,No,3,3,3,1,8,No
EMP0003,46,Female,Divorced,Marketing,Marketing,Brand Manager,3,94558,7879.83,1,0,59,No,1,3,2,2,12,Yes
EMP0004,39,Non-binary,Divorced,Other,Technology,QA Analyst,1,72502,6041.83,7,2,39,Yes,2,4,2,3,14,Yes
EMP0005,42,Male,Married,Computer Science,Sales,Account Manager,3,122717,10226.42,12,7,19,Yes,1,4,2,3,17,Yes
EMP0006,30,Non-binary,Married,Computer Science,Technology,Software Engineer,1,80484,6707.0,6,4,14,Yes,2,3,2,4,19,Yes
EMP0007,39,Non-binary,Married,Computer Science,Human Resources,HR Director,5,160365,13363.75,14,0,56,No,3,3,2,4,22,No
EMP0008,54,Non-binary,Single,Life Sciences,Human Resources,HR Specialist,2,93514,7792.83,16,0,48,Yes,1,5,2,2,10,Yes
EMP0009,27,Female,Divorced,Finance,Technology,QA Analyst,2,59207,4933.92,5,3,45,Yes,2,4,4,3,15,No
EMP0010,47,Non-binary,Divorced,Marketing,Finance,Finance Director,5,182930,15244.17,7,3,14,No,3,3,3,2,10,No
EMP0011,24,Male,Single,Human Resources,Sales,Account Manager,3,104040,8670.0,1,1,25,No,4,2,2,2,13,Yes
EMP0012,25,Non-binary,Divorced,Other,Technology,Software Engineer,1,92236,7686.33,0,0,25,Yes,2,2,1,3,14,Yes
EMP0013,57,Female,Single,Other,Marketing,Marketing Coordinator,2,52745,4395.42,5,3,41,No,4,5,2,1,8,Yes
EMP0014,51,Male,Married,Other,Marketing,Marketing Director,5,160144,13345.33,6,2,23,No,3,3,4,2,14,No
EMP0015,55,Female,Single,Human Resources,Technology,Senior Engineer,3,119453,9954.42,7,6,17,No,3,4,1,2,14,No
EMP0016,42,Male,Single,Other,Human Resources,HR Specialist,2,72288,6024.0,20,4,39,Yes,2,1,2,4,19,Yes
EMP0017,30,Male,Single,Life Sciences,Human Resources,HR Manager,3,130600,10883.33,4,4,51,No,4,4,5,2,11,No
EMP0018,28,Non-binary,Divorced,Life Sciences,Human Resources,HR Manager,3,117471,9789.25,3,2,42,No,2,4,2,2,12,Yes
EMP0019,30,Non-binary,Married,Life Sciences,Finance,Finance Director,5,211759,17646.58,0,0,17,Yes,2,5,2,2,11,Yes
EMP0020,45,Female,Married,Life Sciences,Sales,Sales Representative,1,63346,5278.83,13,2,25,No,5,4,4,1,7,No
EMP0021,48,Non-binary,Divorced,Life Sciences,Human Resources,HR Specialist,3,71542,5961.83,12,0,40,Yes,3,3,2,2,10,No
EMP0022,47,Male,Married,Computer Science,Human Resources,HR Manager,3,121193,10099.42,17,5,11,Yes,5,2,5,2,13,No
EMP0023,42,Male,Divorced,Human Resources,Technology,Department Director,5,238949,19912.42,18,3,26,Yes,2,3,2,4,21,Yes
EMP0024,43,Non-binary,Married,Other,Technology,Tech Lead,4,176764,14730.33,10,6,54,Yes,1,3,4,4,22,Yes
EMP0025,41,Male,Single,Finance,Marketing,Brand Manager,3,118977,9914.75,6,4,40,No,5,4,4,2,14,No
EMP0026,37,Non-binary,Married,Life Sciences,Sales,Sales Executive,2,91046,7587.17,15,1,39,Yes,3,2,3,2,10,No
EMP0027,28,Male,Single,Life Sciences,Marketing,Marketing Director,5,153291,12774.25,3,0,39,Yes,3,3,3,3,17,No
