EmployeeID,Department,Role,Age,TenureYears,AnnualSalary,OverTime,MonthsSincePromotion,SatisfactionScore,WorkLifeBalance,PerformanceRating,Status
EMP00001,HR,HR Generalist,39,12.0,775000.0,Yes,57,4.0,2.5,2.7,Active
EMP00002,Operations,Ops Manager,23,3.2,723000.0,No,60,2.9,3.3,3.6,Active
EMP00003,Customer Support,Support Manager,53,1.5,518000.0,Yes,10,3.4,3.7,3.2,Active
EMP00004,Finance,Accountant,34,1.2,762000.0,No,9,2.2,3.6,3.3,Active
EMP00005,Sales,Account Manager,38,2.7,667000.0,No,42,3.5,2.3,2.8,Active
EMP00006,Customer Support,Support Manager,39,5.4,727000.0,No,25,4.2,4.8,3.9,Active
EMP00007,HR,Recruiter,37,15.4,794000.0,No,26,2.7,3.0,3.4,Active
EMP00008,HR,HR Manager,29,2.3,568000.0,No,53,2.9,2.9,3.6,Active
EMP00009,Sales,Account Manager,52,3.2,692000.0,No,56,3.8,1.0,3.3,Active
EMP00010,Operations,Ops Analyst,45,9.0,943000.0,No,55,3.8,3.9,3.6,Active
EMP00011,Engineering,Senior Engineer,42,3.7,1141000.0,No,47,1.2,3.4,3.5,Active
EMP00012,Customer Support,Support Associate,40,3.5,537000.0,No,59,5.0,3.4,2.6,Active
EMP00013,Finance,Finance Manager,29,7.8,1078000.0,No,44,3.9,2.9,3.5,Active
EMP00014,HR,Recruiter,45,3.2,690000.0,Yes,54,4.0,2.2,3.8,Active
EMP00015,Operations,Ops Manager,27,1.2,601000.0,No,33,3.3,3.0,4.0,Active
EMP00016,Engineering,Senior Engineer,38,6.8,1504000.0,No,4,1.7,3.7,3.5,Active
EMP00017,Operations,Ops Manager,21,0.6,585000.0,Yes,49,4.0,3.3,2.5,Active
EMP00018,Sales,Sales Executive,21,6.0,804000.0,Yes,56,2.9,2.5,2.6,Resigned
EMP00019,HR,HR Generalist,37,3.0,738000.0,No,19,3.9,4.2,2.9,Active
EMP00020,Finance,Accountant,28,2.4,938000.0,No,26,3.2,3.2,3.3,Active
EMP00021,HR,HR Generalist,21,2.3,596000.0,No,35,3.6,2.8,3.1,Active
EMP00022,Engineering,Engineering Manager,39,2.7,1217000.0,No,40,2.7,3.5,2.4,Active
EMP00023,Customer Support,Support Associate,51,2.1,544000.0,No,41,4.2,2.1,2.4,Active
EMP00024,Customer Support,Support Manager,46,4.2,573000.0,No,24,2.3,3.5,1.7,Resigned
EMP00025,HR,Recruiter,32,2.1,682000.0,Yes,52,5.0,1.3,1.0,Active
EMP00026,Sales,Account Manager,35,3.0,825000.0,No,49,5.0,2.4,3.1,Active
EMP00027,Operations,Ops Analyst,41,0.4,577000.0,Yes,57,4.9,1.0,4.8,Active
EMP00028,Sales,Account Manager,44,3.0,792000.0,No,35,4.5,3.1,4.5,Active
EMP00029,Sales,Sales Manager,32,2.0,699000.0,No,5,3.3,4.7,2.5,Active
EMP00030,Finance,Financial Analyst,36,5.7,856000.0,No,51,4.4,3.2,3.3,Active
EMP00031,HR,HR Generalist,37,2.4,716000.0,No,5,3.3,3.9,2.2,Active
EMP00032,Customer Support,Support Lead,40,5.2,639000.0,No,12,2.0,5.0,2.3,Active
EMP00033,Engineering,Software Engineer,34,4.8,1260000.0,Yes,18,4.8,3.1,2.4,Resigned
EMP00034,Engineering,Software Engineer,34,4.9,1266000.0,Yes,12,4.4,2.0,3.0,Active
EMP00035,Operations,Ops Manager,46,2.5,700000.0,Yes,44,3.4,2.1,3.1,Active
EMP00036,Sales,Account Manager,44,3.1,722000.0,Yes,27,2.3,2.7,3.4,Resigned
EMP00037,Sales,Account Manager,39,4.1,924000.0,No,14,2.9,2.7,3.7,Resigned
EMP00038,Operations,Process Lead,49,3.2,741000.0,No,1,1.8,2.8,3.0,Active
EMP00039,Engineering,Engineering Manager,31,2.4,1143000.0,No,13,4.3,4.2,3.2,Active
EMP00040,Finance,Financial Analyst,47,1.4,802000.0,No,42,2.0,4.2,2.4,Resigned
EMP00041,Operations,Ops Manager,39,3.0,663000.0,Yes,48,3.7,1.2,2.3,Active
EMP00042,HR,HR Generalist,60,0.7,498000.0,Yes,18,2.6,2.0,2.2,Resigned
EMP00043,Finance,Financial Analyst,24,0.3,729000.0,No,5,2.1,2.9,3.7,Resigned
EMP00044,Engineering,Software Engineer,28,1.1,914000.0,No,34,3.6,3.8,3.0,Active
EMP00045,HR,Recruiter,39,4.8,743000.0,No,47,3.1,4.3,1.9,Active
EMP00046,HR,HR Manager,38,3.6,745000.0,Yes,5,4.2,5.0,3.2,Active
EMP00047,Engineering,Engineering Manager,51,4.8,1151000.0,No,48,2.3,2.9,2.3,Active
EMP00048,Engineering,Senior Engineer,29,1.7,994000.0,No,11,2.7,2.9,4.4,Active
EMP00049,Finance,Finance Manager,43,6.1,1077000.0,No,16,1.3,3.8,2.8,Active
EMP00050,Sales,Sales Executive,43,0.8,610000.0,Yes,38,1.4,2.1,3.7,Resigned
EMP00051,Sales,Sales Manager,40,1.1,782000.0,Yes,4,5.0,2.6,4.0,Active
EMP00052,Sales,Sales Manager,28,6.1,852000.0,No,19,5.0,2.9,2.5,Active
EMP00053,HR,HR Generalist,46,3.4,583000.0,No,9,3.5,1.0,3.3,Active
EMP00054,Finance,Accountant,45,4.9,876000.0,No,13,2.7,3.4,3.6,Active
EMP00055,Finance,Finance Manager,40,3.6,1030000.0,Yes,47,3.1,2.5,3.3,Active
EMP00056,HR,Recruiter,36,1.9,566000.0,No,14,4.2,4.4,3.5,Active
EMP00057,Operations,Process Lead,36,1.0,667000.0,No,3,2.9,3.3,2.3,Active
EMP00058,Operations,Process Lead,33,0.4,551000.0,No,13,3.6,2.2,3.6,Active
EMP00059,Sales,Account Manager,42,9.5,927000.0,No,6,3.4,3.1,2.9,Active
EMP00060,Sales,Sales Executive,34,0.6,750000.0,No,38,2.9,1.4,3.4,Resigned
EMP00061,Finance,Accountant,30,7.7,981000.0,No,59,2.9,2.2,3.8,Active
EMP00062,Operations,Ops Analyst,26,3.2,612000.0,No,11,3.7,3.9,3.7,Active
EMP00063,Operations,Ops Manager,29,3.7,733000.0,No,44,2.5,3.1,3.4,Active
EMP00064,HR,Recruiter,37,3.5,738000.0,No,22,3.8,4.1,3.6,Active
EMP00065,Finance,Accountant,35,4.4,899000.0,No,5,3.0,1.5,3.7,Active
EMP00066,Operations,Ops Analyst,36,1.5,581000.0,No,42,3.5,3.1,4.2,Active
EMP00067,Operations,Ops Analyst,38,0.3,699000.0,No,13,4.6,2.9,3.2,Active
EMP00068,Engineering,Engineering Manager,29,1.8,1108000.0,No,31,3.2,4.2,3.3,Active
