EmployeeID,Department,Role,Age,TenureYears,AnnualSalary,OverTime,MonthsSincePromotion,SatisfactionScore,WorkLifeBalance,PerformanceRating,Status,OT_risk,Satisfaction_risk,Promotion_risk,Pay_risk,WLB_risk,Tenure_risk,RiskScore,RiskBand
EMP00052,Sales,Sales Manager,28,6.1,852000.0,No,19,5.0,2.9,2.5,Active,0.0,0.0,0.31666666666666665,0.2757352941176471,0.525,0.23750000000000004,16.7,Low
EMP00523,Sales,Sales Executive,38,5.2,757000.0,Yes,43,4.0,3.2,2.1,Active,1.0,0.25,0.7166666666666667,0.5716911764705883,0.44999999999999996,0.35,61.0,Medium
EMP00180,HR,Recruiter,37,2.9,722000.0,No,58,3.3,3.6,2.8,Active,0.0,0.42500000000000004,0.9666666666666667,0.2748091603053435,0.35,0.6375,37.5,Low
EMP01173,Engineering,Engineering Manager,29,6.0,1328000.0,No,1,3.4,3.2,3.2,Active,0.0,0.4,0.016666666666666666,0.17316017316017318,0.44999999999999996,0.25,19.2,Low
EMP00938,Sales,Sales Executive,29,3.6,783000.0,No,25,3.4,2.6,2.5,Resigned,0.0,0.4,0.4166666666666667,0.4724264705882353,0.6,0.55,33.4,Low
EMP01152,Customer Support,Support Lead,38,6.1,731000.0,Yes,51,3.1,3.2,3.3,Active,1.0,0.475,0.85,0.03608247422680411,0.44999999999999996,0.23750000000000004,60.3,Medium
EMP00206,Engineering,Engineering Manager,33,4.6,1102000.0,No,41,3.1,2.2,4.4,Active,0.0,0.475,0.6833333333333333,0.5714285714285714,0.7,0.42500000000000004,41.3,Low
EMP01090,Operations,Process Lead,43,7.2,832000.0,Yes,12,5.0,3.0,4.1,Active,1.0,0.0,0.2,0.13285024154589375,0.5,0.09999999999999998,39.7,Low
EMP00657,Customer Support,Support Manager,26,1.3,533000.0,Yes,35,2.0,1.1,3.3,Active,1.0,0.75,0.5833333333333334,0.6804123711340206,0.975,0.8375,81.6,High
EMP01114,Customer Support,Support Associate,35,1.4,509000.0,Yes,24,2.7,2.2,2.9,Active,1.0,0.575,0.4,0.8041237113402062,0.7,0.825,72.8,High
EMP00035,Operations,Ops Manager,46,2.5,700000.0,Yes,44,3.4,2.1,3.1,Active,1.0,0.4,0.7333333333333333,0.536231884057971,0.725,0.6875,69.7,High
EMP00736,Finance,Financial Analyst,21,3.6,800000.0,No,45,2.4,3.2,2.5,Active,0.0,0.65,0.75,0.75625,0.44999999999999996,0.55,46.9,Medium
EMP00064,HR,Recruiter,37,3.5,738000.0,No,22,3.8,4.1,3.6,Active,0.0,0.30000000000000004,0.36666666666666664,0.20992366412213737,0.2250000000000001,0.5625,22.1,Low
